english,german
Placement Charm,Platzierungs-Zauber
Polyjuice Potion,Vielsaft-Trank
Point me,Weise mir die Richtung/vier Punkte Zauber
Refilling Charm,Nachfüll-Zauber
Relashio,Relaschio
Revulsion Jinx,Verekel-Fluch
Restoring Spell,Rückverwandlungs-Zauber
Reverse spell effect,Priori Incantatem
Scourgify,Ratzeputz
Shield Charm,Schild-Zauber
Shrinking Solution,Schrumpf-Trank
Scintillation Solution,Funken-Lösung
Skele-gro,Skele-Wachs
Sleekeazy's Hair Potion,Seidenglatts Haargel
Stealth Sensoring Spell,Heimlichkeits-Aufspürzauber
Stinging Hex,Brand-Zauber
Strengthening solution,Stärkungs-Trank
Stretching Jinx,Streck-Fluch
Stupefy,Stupor
Stunnigng Spell,Schock-Zauber
Substantive Charm,Substantiv-Zauber
Summoning Charm,Aufrufe-Zauber
|Sunshine, daisies, butter mellow. Turn this stupid, fat rat yellow!|,|Eidotter, Gänsekraut und Sonnenschein, gelb soll diese dumme, fette Ratte sein! (HP I/6)|
Swelling Solution,Schwell-Lösung
Switching Spell,Verwandlungs-Zauber
Thief's Curse,Klau-Fluch
Thief's Downfall,Diebesfall
Tickling Charm,Kitzel-Zauber
Toenail-growing hex,|Verwünschung, die Zehennägel alarmierend schnell wachsen lässt|
Tongue-Tying Curse,Zunge-Fessel-Fluch
|Toots, Hoots 'n Roots|,|Kross, Spross und Schoss|
Transforming Spell,Verwandlungs-Zauber
Transmogrifian Torture,Transmutations-Tortur
Trip Jinx,Stolper-Fluch
Twin Chores,Zwillingskerne
Unbreakable Charm,Unzerbrechlichkeits-Zauber
Unbreakable Vow,Unbrechbarer Schwur
Unforgivable Curses,Unverzeihliche Flüche
Unplottable,Unortbar
Vanishing Spell,Verschwinde-Zauber
Wit-sharpening Potion,Gripsschärfungs-Trank
Wolfsbane Potion,Wolfsbann-Trank
A Chauldron Full of Hot Strong Love,|Ein Kessel voller heißer, starker Liebe|
Barnabus Finkley Prize for Exceptional Spell-Casting,Barnabus-Finkley-Preis für Außergewöhnliche Zauberei
Concealment and Disguise,Tarnung und Maskierung
Erised stra ehru oyt ube cafru oyt on wohsi I show not your face but your heart's desire,Nerhegeb Z Reh Nie Drebaz Tilt Naniedth CinNicht dein Antlitz aber dein Herzbegehren
Harry for President,Harry vor für Gryffindor
He who must not be named,Er dessen Name nicht genannt werden darf
I solemnly swear that I'm up to no good. Mischief managed!,|Ich schwöre feierlich, ich bin ein Tunichtgut.Missetat begangen! (HPIII/10)|
Master of Death,Gebieter des Todes
Potter stinks,Potter stinkt
Purveyors of Aids to Magical Mischief-Makers,Hilfsmittel für die Magischen Tunichtgut GmbH
S.P.E.W = Society for the Promotion of Elfish Welfare,B.ELFE.R =Bund für Elfenrechte
S.P.U.G. - Society for the Protection of Ugly Goblins,B.L.Ö.K. - Gesellschaft zum Schutz der lümmelhaften öden Kobolde
Stealth and Tracking,Verheimlichen und Aufspüren
Support CEDRIC DIGGORY-the REAL Hogwarts Champion! the REAL Hogwarts Champion!',Ich bin für CEDRIC DIGGORY -den WAHREN Hogwarts-Champion!
Tom Marvolo Riddle - I am Lord Voldemort,Tom Vorlost Riddle - Ist Lord Voldemort
U-no-poo,Du scheißt nie mehr
Wandlore,Zauberstabkunde
Weasley is our King,Weasley ist unser King
Wit Beyond Measure is Men's Greatest Pleasure,Witzigkeit  im Übermaß ist des Menschen größter Schatz
You know who,Du weißt schon wer
